dataset_id	id	acceptedNameUsage	acceptedNameUsageID	accessRights	aphiaid	areas	associatedMedia	associatedOccurrences	associatedOrganisms	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bathymetry	bed	behavior	bibliographicCitation	brackish	caste	catalogNumber	class	classid	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	cultivarEpithet	dataGeneralizations	datasetID	datasetName	dateIdentified	date_end	date_mid	date_start	date_year	day	decimalLatitude	decimalLongitude	degreeOfEstablishment	depth	disposition	division	divisionid	domain	domainid	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	eventType	family	familyid	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	forma	formaid	formation	genericName	genus	genusid	geodeticDatum	geologicalContextID	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	gigaclass	gigaclassid	group	hab	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	identifiedByID	individualCount	informationWithheld	infraclass	infraclassid	infragenericEpithet	infrakingdom	infrakingdomid	infraorder	infraorderid	infraphylum	infraphylumid	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	kingdomid	language	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	license	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	marine	materialEntityID	materialEntityRemarks	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	megaclass	megaclassid	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	modified	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceID	occurrenceRemarks	occurrenceStatus	order	orderid	organismID	organismName	organismQuantity	organismQuantityType	organismRemarks	organismScope	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentEventID	parentNameUsage	parentNameUsageID	parvorder	parvorderid	parvphylum	parvphylumid	pathway	phylum	phylum_division	phylum_divisionid	phylumid	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	recordedByID	redlist_category	references	reproductiveCondition	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	section	sectionid	sex	shoredistance	species	speciesid	specificEpithet	sss	sst	startDayOfYear	stateProvince	subclass	subclassid	subdivision	subdivisionid	subfamily	subfamilyid	subforma	subformaid	subgenus	subgenusid	subkingdom	subkingdomid	suborder	suborderid	subphylum	subphylum_subdivision	subphylum_subdivisionid	subphylumid	subsection	subsectionid	subspecies	subspeciesid	subterclass	subterclassid	subtribe	subtribeid	subvariety	subvarietyid	superclass	superclassid	superdomain	superdomainid	superfamily	superfamilyid	superorder	superorderid	supertribe	supertribeid	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	tribe	tribeid	type	typeStatus	unaccepted	variety	varietyid	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimIdentification	verbatimLabel	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	verticalDatum	vitality	waterBody	wrims	year	originalScientificName	flags	dropped	absence
178820dc-ead7-497b-b2a2-2c8ea4d5a084	ff3f89a4-518d-4e7c-a2dc-dda812013747				137102	[193, 194, 40025, 31912]	https://geoanavnet.hidrografico.pt/coastal-warnings?uuid=61757c5c-cc27-4a3c-ae6a-6bf7eb642378						HumanObservation	743.2						1020_ANAV_NR_2310/22	Mammalia	1837											https://marineinfo.org/id/dataset/8743	Events with orcas - AnavNet		1672444800000	1656720000000	1640995200000	2022		38.289937	-9.041748																2022					Delphinidae	136980					MultiPoint ((-9.04174800000000012 38.28993700000000189))					Orcinus	137021																																Cetacea	2688	Gnathostomata	1828		IHPT				Animalia	2															true							Tetrapoda	1831					2025-02-21 12:32:28										1020_ANAV_NR_2310/22	Novos perigos|Animais Marinhos - InteraÁ„o	present	Cetartiodactyla	370511																			Chordata			1821															Orcinus orca		urn:lsid:marinespecies.org:taxname:137102				16220.0	Orcinus orca	137102		35.49	17.1			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2022	Orcinus orca (Linnaeus, 1758)	[NO_DEPTH]	false	false
178820dc-ead7-497b-b2a2-2c8ea4d5a084	716b10c8-5520-4577-9969-abd9f15b049c				137102	[193, 194, 40025, 31912]	https://geoanavnet.hidrografico.pt/coastal-warnings?uuid=325e338b-d53c-49ef-8ee6-4f4359b510ce						HumanObservation	86.6						1032_ANAV_NR_2317/22	Mammalia	1837											https://marineinfo.org/id/dataset/8743	Events with orcas - AnavNet		1664496000000	1664496000000	1664496000000	2022	30	38.23815	-8.8565																2022-09-30					Delphinidae	136980					MultiPoint ((-8.85650000000000048 38.23814999999999742))					Orcinus	137021																																Cetacea	2688	Gnathostomata	1828		IHPT				Animalia	2															true							Tetrapoda	1831					2025-02-21 12:32:28	9									1032_ANAV_NR_2317/22	Novos perigos|Animais Marinhos - InteraÁ„o	present	Cetartiodactyla	370511																			Chordata			1821															Orcinus orca		urn:lsid:marinespecies.org:taxname:137102				7067.0	Orcinus orca	137102		35.5	17.15			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2022	Orcinus orca (Linnaeus, 1758)	[NO_DEPTH]	false	false
178820dc-ead7-497b-b2a2-2c8ea4d5a084	04513443-a748-4db8-97ff-d7feeb05efe6				137102	[193, 194, 40025, 31912]	https://geoanavnet.hidrografico.pt/coastal-warnings?uuid=cd1e33c1-5920-4a2b-aafe-6dce7aac61be						HumanObservation	158.6						1060_ANAV_NR_2335/22	Mammalia	1837											https://marineinfo.org/id/dataset/8743	Events with orcas - AnavNet		1667174400000	1665878400000	1664582400000	2022		38.190013089382	-9.040319452																2022-10					Delphinidae	136980					MultiLineString ((-8.93188499999999941 37.93119999999999692, -8.9923099999999998 38.22739299999999929, -9.24774200000000057 38.37826900000000308))					Orcinus	137021																																Cetacea	2688	Gnathostomata	1828		IHPT				Animalia	2															true							Tetrapoda	1831					2025-02-21 12:32:28	10									1060_ANAV_NR_2335/22	Novos perigos|Animais Marinhos - InteraÁ„o	present	Cetartiodactyla	370511																			Chordata			1821															Orcinus orca		urn:lsid:marinespecies.org:taxname:137102				22472.0	Orcinus orca	137102		35.52	17.19			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2022	Orcinus orca (Linnaeus, 1758)	[NO_DEPTH]	false	false
178820dc-ead7-497b-b2a2-2c8ea4d5a084	e908ddf8-bfea-416b-bc95-e3014ed35446				137102	[193, 194, 40025, 31912]	https://geoanavnet.hidrografico.pt/coastal-warnings?uuid=f306d287-18f1-4294-b343-6dbcb447bf74						HumanObservation	56.0						1140_ANAV_NR_2385/22	Mammalia	1837											https://marineinfo.org/id/dataset/8743	Events with orcas - AnavNet		1667174400000	1665878400000	1664582400000	2022		37.0222055	-8.7382505																2022-10					Delphinidae	136980					MultiPolygon (((-9.01977499999999921 36.90817599999999743, -9.01977499999999921 37.13623499999999922, -8.45672599999999974 37.13623499999999922, -8.45672599999999974 36.90817599999999743, -9.01977499999999921 36.90817599999999743)))					Orcinus	137021																																Cetacea	2688	Gnathostomata	1828		IHPT				Animalia	2															true							Tetrapoda	1831					2025-02-21 12:32:28	10									1140_ANAV_NR_2385/22	Requisitos de seguranÁa maritima|Animais Marinhos - Avistamento	present	Cetartiodactyla	370511																			Chordata			1821															Orcinus orca		urn:lsid:marinespecies.org:taxname:137102				5857.0	Orcinus orca	137102		35.79	17.8			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2022	Orcinus orca (Linnaeus, 1758)	[NO_DEPTH]	false	false
178820dc-ead7-497b-b2a2-2c8ea4d5a084	c928f316-1827-4fac-b333-2504a40e8936				137102	[193, 194, 40025, 31912]	https://geoanavnet.hidrografico.pt/coastal-warnings?uuid=57d1f003-34f9-4f07-a06d-30089a008666						HumanObservation	31.2						1144_ANAV_NR_2387/22	Mammalia	1837											https://marineinfo.org/id/dataset/8743	Events with orcas - AnavNet		1667174400000	1665878400000	1664582400000	2022		39.3628785	-9.4413755																2022-10					Delphinidae	136980					MultiPolygon (((-9.59930400000000006 39.24927100000000024, -9.59930400000000006 39.4764860000000013, -9.28344700000000067 39.4764860000000013, -9.28344700000000067 39.24927100000000024, -9.59930400000000006 39.24927100000000024)))					Orcinus	137021																																Cetacea	2688	Gnathostomata	1828		IHPT				Animalia	2															true							Tetrapoda	1831					2025-02-21 12:32:28	10									1144_ANAV_NR_2387/22	Requisitos de seguranÁa maritima|Animais Marinhos - Avistamento	present	Cetartiodactyla	370511																			Chordata			1821															Orcinus orca		urn:lsid:marinespecies.org:taxname:137102				2824.0	Orcinus orca	137102		35.27	16.69			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2022	Orcinus orca (Linnaeus, 1758)	[NO_DEPTH]	false	false
178820dc-ead7-497b-b2a2-2c8ea4d5a084	3e1e741a-ae20-4d06-89ff-648259cf6b52				137102	[193, 194, 40025, 31912]	https://geoanavnet.hidrografico.pt/coastal-warnings?uuid=d27deb3b-3cfa-4e6e-9d03-3fdadfd96da3						HumanObservation	115.4						1146_ANAV_NR_2388/22	Mammalia	1837											https://marineinfo.org/id/dataset/8743	Events with orcas - AnavNet		1667174400000	1665878400000	1664582400000	2022		36.92518099522	-8.811862733																2022-10					Delphinidae	136980					MultiLineString ((-8.27407799999999938 37.06942300000000046, -8.27819799999999972 36.84006500000000273, -9.2010500000000004 36.8356679999999983, -9.21203599999999945 37.13842499999999802, -8.95385699999999929 37.13842499999999802))					Orcinus	137021																																Cetacea	2688	Gnathostomata	1828		IHPT				Animalia	2															true							Tetrapoda	1831					2025-02-21 12:32:28	10									1146_ANAV_NR_2388/22	Requisitos de seguranÁa maritima|Animais Marinhos - Avistamento	present	Cetartiodactyla	370511																			Chordata			1821															Orcinus orca		urn:lsid:marinespecies.org:taxname:137102				13568.0	Orcinus orca	137102		35.82	17.92			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2022	Orcinus orca (Linnaeus, 1758)	[NO_DEPTH]	false	false
178820dc-ead7-497b-b2a2-2c8ea4d5a084	48321522-e58b-4abb-bb24-0e4a9b5a0ef9				137102	[193, 194, 40025, 31912]	https://geoanavnet.hidrografico.pt/coastal-warnings?uuid=fc83c939-29eb-4079-b15b-62c4ea47b6fc						HumanObservation	517.0						1156_ANAV_NR_2396/22	Mammalia	1837											https://marineinfo.org/id/dataset/8743	Events with orcas - AnavNet		1667174400000	1665878400000	1664582400000	2022		36.8745895	-7.5476075																2022-10					Delphinidae	136980					MultiPolygon (((-8.54736300000000071 36.56260000000000332, -8.54736300000000071 37.18657900000000183, -6.54785199999999978 37.18657900000000183, -6.54785199999999978 36.56260000000000332, -8.54736300000000071 36.56260000000000332)))					Orcinus	137021																																Cetacea	2688	Gnathostomata	1828		IHPT				Animalia	2															true							Tetrapoda	1831					2025-02-21 12:32:28	10									1156_ANAV_NR_2396/22	Novos perigos|Animais Marinhos - InteraÁ„o	present	Cetartiodactyla	370511																			Chordata			1821															Orcinus orca		urn:lsid:marinespecies.org:taxname:137102				25261.0	Orcinus orca	137102		35.79	18.88			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2022	Orcinus orca (Linnaeus, 1758)	[NO_DEPTH]	false	false
178820dc-ead7-497b-b2a2-2c8ea4d5a084	26fb84d2-2682-4a6d-b066-720ccf808bca				137102	[193, 194, 40025, 31912]	https://geoanavnet.hidrografico.pt/coastal-warnings?uuid=7b86002e-08b8-4c46-bdaa-3880b3865557						HumanObservation	879.0						1186_ANAV_NR_2421/22	Mammalia	1837											https://marineinfo.org/id/dataset/8743	Events with orcas - AnavNet		1665619200000	1665619200000	1665619200000	2022	13	38.52883	-9.661102																2022-10-13					Delphinidae	136980					MultiPoint ((-9.66110199999999963 38.52882999999999925))					Orcinus	137021																																Cetacea	2688	Gnathostomata	1828		IHPT				Animalia	2															true							Tetrapoda	1831					2025-02-21 12:32:28	10									1186_ANAV_NR_2421/22	Novos perigos|Animais Marinhos - InteraÁ„o	present	Cetartiodactyla	370511																			Chordata			1821															Orcinus orca		urn:lsid:marinespecies.org:taxname:137102				24993.0	Orcinus orca	137102		35.63	17.05			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2022	Orcinus orca (Linnaeus, 1758)	[NO_DEPTH]	false	false
178820dc-ead7-497b-b2a2-2c8ea4d5a084	f2f962f9-6d14-4a56-b859-f47fbc7a6ab8				137102	[193, 194, 40025, 31912]	https://geoanavnet.hidrografico.pt/coastal-warnings?uuid=c28ea941-1610-41c2-a145-7cc5993ae94c						HumanObservation	108.2						1452_ANAV_NR_2602/22	Mammalia	1837											https://marineinfo.org/id/dataset/8743	Events with orcas - AnavNet		1669766400000	1668470400000	1667260800000	2022		41.696167	-9.156333																2022-11					Delphinidae	136980					MultiPoint ((-9.15633300000000006 41.69616700000000264))					Orcinus	137021																																Cetacea	2688	Gnathostomata	1828		IHPT				Animalia	2															true							Tetrapoda	1831					2025-02-21 12:32:28	11									1452_ANAV_NR_2602/22	Novos perigos|Animais Marinhos - InteraÁ„o	present	Cetartiodactyla	370511																			Chordata			1821															Orcinus orca		urn:lsid:marinespecies.org:taxname:137102				23615.0	Orcinus orca	137102		35.19	15.75			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2022	Orcinus orca (Linnaeus, 1758)	[NO_DEPTH]	false	false
178820dc-ead7-497b-b2a2-2c8ea4d5a084	6ddd54f1-484c-4d2f-be18-c13c29da59a0				137102	[193, 194, 40025, 31912]	https://geoanavnet.hidrografico.pt/coastal-warnings?uuid=0ef2e474-0b90-45d0-8336-c0d84f2d241e						HumanObservation	832.0						1748_ANAV_NR_2811/22	Mammalia	1837											https://marineinfo.org/id/dataset/8743	Events with orcas - AnavNet		1669766400000	1668470400000	1667260800000	2022		38.285535	-9.0458675																2022-11					Delphinidae	136980					MultiPolygon (((-9.23263500000000015 38.17127299999999934, -9.23263500000000015 38.39979699999999951, -8.85909999999999975 38.39979699999999951, -8.85909999999999975 38.17127299999999934, -9.23263500000000015 38.17127299999999934)))					Orcinus	137021																																Cetacea	2688	Gnathostomata	1828		IHPT				Animalia	2															true							Tetrapoda	1831					2025-02-21 12:32:28	11									1748_ANAV_NR_2811/22	Novos perigos|Animais Marinhos - InteraÁ„o	present	Cetartiodactyla	370511																			Chordata			1821															Orcinus orca		urn:lsid:marinespecies.org:taxname:137102				16667.0	Orcinus orca	137102		35.49	17.1			Theria	380416											Cetancodonta	370545	Vertebrata			146419															Odontoceti	148723																																		2022	Orcinus orca (Linnaeus, 1758)	[NO_DEPTH]	false	false
